Account Number,Reporting Period,Credit Limit,Outstanding Balance,Interest Rate,Minimum Payment Due,Payment Status,Delinquency Status,Credit Score,Utilization Ratio,Charge-Off Status
303976,2025-02,36319,43792,21.12,229,Paid in Full,Current,823,92.67,No
303977,2025-02,32357,39105,13.62,120,Paid in Full,60 Days,779,72.98,No
303978,2025-02,33938,39985,16.65,764,Paid in Full,90+ Days,562,60.48,No
303979,2025-02,7647,35142,23.69,408,Paid in Full,Current,572,45.44,No
303980,2025-02,11165,18759,12.77,848,Paid in Full,30 Days,619,69.35,No
303981,2025-02,24438,14689,18.52,986,Paid in Full,Current,816,16.06,No
303982,2025-02,37174,9154,12.01,345,Missed Payment,30 Days,695,48.14,No
303983,2025-02,41676,27459,22.74,82,Paid in Full,Current,531,15.05,No
303984,2025-02,13664,11035,11.0,768,Missed Payment,Current,770,41.77,No
303985,2025-02,23763,36117,10.76,406,Paid in Full,Current,786,77.91,No
303986,2025-02,39640,13879,17.93,277,Paid in Full,Current,839,8.64,No
303987,2025-02,13985,9287,13.91,769,Paid in Full,Current,547,56.22,No
303988,2025-02,35404,24102,18.89,393,Partial Payment,Current,586,81.39,No
303989,2025-02,41569,1008,23.85,869,Paid in Full,Current,840,43.19,No
303990,2025-02,39213,17377,16.9,360,Paid in Full,Current,607,93.68,No
303991,2025-02,3976,36837,17.63,105,Paid in Full,Current,662,21.44,No
303992,2025-02,21454,6393,15.33,697,Partial Payment,Current,652,74.54,No
303993,2025-02,15246,13077,18.51,817,Paid in Full,Current,649,5.39,No
303994,2025-02,13735,27232,10.03,208,Paid in Full,Current,839,83.41,No
303995,2025-02,37250,20587,11.48,799,Missed Payment,Current,541,20.4,No
303996,2025-02,16428,20925,14.78,774,Paid in Full,Current,577,72.69,Yes
303997,2025-02,10128,6197,21.24,322,Partial Payment,Current,731,21.61,No
303998,2025-02,11687,2231,17.28,289,Paid in Full,Current,620,80.17,No
303999,2025-02,30210,19006,17.12,125,Paid in Full,Current,578,31.7,No
304000,2025-02,29454,9074,24.29,497,Paid in Full,Current,635,89.48,No
304001,2025-02,5810,29376,21.57,135,Paid in Full,Current,832,57.64,No
304002,2025-02,3179,32836,11.5,861,Partial Payment,90+ Days,593,78.45,No
304003,2025-02,37279,42814,10.84,455,Paid in Full,Current,646,87.68,No
304004,2025-02,25245,42532,20.64,648,Paid in Full,Current,773,18.33,No
304005,2025-02,49130,34299,10.11,941,Paid in Full,Current,508,25.82,No
304006,2025-02,20411,39297,17.28,527,Paid in Full,Current,714,80.82,No
304007,2025-02,4166,27383,23.12,891,Paid in Full,Current,617,10.8,No
304008,2025-02,6565,7599,24.88,125,Paid in Full,Current,598,23.7,No
304009,2025-02,46027,38174,22.8,787,Partial Payment,60 Days,528,30.94,No
304010,2025-02,26131,41447,24.93,51,Missed Payment,Current,529,69.35,No
304011,2025-02,48166,27708,18.8,313,Paid in Full,Current,609,65.01,No
304012,2025-02,38084,26518,20.78,156,Partial Payment,Current,632,47.73,No
304013,2025-02,26091,43342,12.45,673,Paid in Full,Current,760,57.95,No
304014,2025-02,2851,28008,18.25,604,Paid in Full,Current,761,58.1,No
304015,2025-02,49136,23798,12.58,382,Paid in Full,Current,660,35.56,No
304016,2025-02,47151,6309,10.42,924,Paid in Full,Current,545,8.96,No
304017,2025-02,10418,4285,21.34,476,Partial Payment,Current,712,23.6,No
304018,2025-02,7515,10012,22.25,351,Paid in Full,Current,552,43.4,No
304019,2025-02,39280,42378,13.35,735,Paid in Full,Current,682,75.05,No
304020,2025-02,20321,13896,15.46,50,Partial Payment,30 Days,817,54.74,No
304021,2025-02,38040,44876,20.19,840,Paid in Full,Current,730,53.28,No
304022,2025-02,14528,36223,16.07,753,Paid in Full,Current,559,48.51,No
304023,2025-02,16937,35829,10.0,991,Paid in Full,60 Days,706,30.86,No
304024,2025-02,42046,8638,15.72,963,Paid in Full,Current,586,13.0,No
304025,2025-02,13532,14467,24.66,438,Partial Payment,Current,696,10.72,No
304026,2025-02,25701,15549,19.84,587,Partial Payment,Current,630,94.33,No
304027,2025-02,38640,36870,10.69,985,Paid in Full,30 Days,762,33.99,No
304028,2025-02,30194,16687,16.1,265,Paid in Full,Current,796,75.94,No
304029,2025-02,34066,15053,18.96,686,Paid in Full,Current,669,69.4,No
304030,2025-02,38719,3940,11.58,215,Missed Payment,Current,789,72.4,No
304031,2025-02,23674,41950,16.28,877,Paid in Full,Current,807,84.83,No
304032,2025-02,22540,8860,11.06,600,Paid in Full,Current,677,5.69,No
304033,2025-02,24937,3273,21.82,545,Paid in Full,Current,671,77.98,No
304034,2025-02,42286,20639,23.55,291,Paid in Full,Current,593,21.71,No
304035,2025-02,21344,44059,17.39,533,Paid in Full,Current,837,72.76,No
304036,2025-02,4671,2933,11.5,802,Paid in Full,Current,676,87.06,No
304037,2025-02,45576,23079,18.7,283,Partial Payment,Current,524,41.95,No
304038,2025-02,2058,5944,18.1,267,Paid in Full,Current,552,54.43,No
304039,2025-02,1374,30085,18.6,256,Paid in Full,Current,728,39.92,No
304040,2025-02,20132,30819,18.25,414,Paid in Full,Current,816,68.98,No
304041,2025-02,42173,10494,23.31,790,Paid in Full,Current,612,25.13,No
304042,2025-02,30132,23973,12.68,402,Paid in Full,Current,783,78.7,No
304043,2025-02,17775,38432,20.77,202,Missed Payment,Current,775,87.02,No
304044,2025-02,47929,16759,20.34,164,Partial Payment,Current,736,86.34,No
304045,2025-02,26851,5701,17.89,233,Partial Payment,Current,751,82.94,No
304046,2025-02,8844,3207,17.1,711,Missed Payment,Current,793,27.81,No
304047,2025-02,15382,15122,19.54,843,Paid in Full,30 Days,762,80.02,No
304048,2025-02,26806,9009,10.49,67,Paid in Full,Current,828,50.02,No
304049,2025-02,21030,22630,13.61,186,Paid in Full,Current,506,38.8,No
304050,2025-02,4424,33976,11.46,750,Paid in Full,Current,713,16.11,No
304051,2025-02,23478,6576,14.23,342,Partial Payment,Current,576,50.78,No
304052,2025-02,46537,13510,10.11,205,Missed Payment,Current,560,26.42,No
304053,2025-02,15758,1654,15.69,708,Paid in Full,Current,707,53.95,No
304054,2025-02,20544,28096,18.74,970,Paid in Full,Current,513,22.78,No
304055,2025-02,22003,28705,10.3,493,Paid in Full,Current,791,6.41,No
304056,2025-02,43099,42843,12.66,163,Paid in Full,Current,646,36.17,No
304057,2025-02,7341,44725,14.29,867,Partial Payment,Current,645,25.96,No
304058,2025-02,38060,41901,19.95,878,Partial Payment,Current,606,50.57,No
304059,2025-02,26780,7139,24.73,760,Paid in Full,Current,594,92.5,No
304060,2025-02,19970,5433,13.65,123,Partial Payment,Current,715,26.16,No
304061,2025-02,41614,20873,11.69,128,Paid in Full,Current,798,5.78,No
304062,2025-02,15182,19372,16.81,251,Partial Payment,30 Days,651,56.45,No
304063,2025-02,43663,11464,10.52,76,Paid in Full,Current,728,48.37,No
304064,2025-02,20872,5123,16.92,932,Paid in Full,Current,687,92.43,No
304065,2025-02,22461,21460,17.71,775,Partial Payment,Current,599,76.34,No
304066,2025-02,40293,44961,16.25,863,Paid in Full,30 Days,824,64.66,No
304067,2025-02,46933,11920,13.54,108,Paid in Full,Current,635,33.98,No
304068,2025-02,14510,12914,10.27,895,Paid in Full,Current,829,51.25,No
304069,2025-02,29278,2247,12.97,330,Paid in Full,Current,522,50.38,No
304070,2025-02,49391,22224,20.01,752,Paid in Full,Current,682,80.02,No
304071,2025-02,19581,22333,16.24,650,Missed Payment,Current,548,42.4,No
304072,2025-02,33520,39268,13.93,531,Paid in Full,Current,600,65.41,No
304073,2025-02,27222,24030,14.93,561,Paid in Full,Current,743,79.22,No
304074,2025-02,30287,38120,19.57,356,Paid in Full,Current,720,18.63,No
304075,2025-02,6428,32058,15.61,735,Paid in Full,Current,507,17.44,Yes
304076,2025-02,35495,42807,15.56,740,Paid in Full,Current,712,68.04,No
304077,2025-02,31568,15039,20.82,235,Paid in Full,Current,843,74.85,No
304078,2025-02,12516,17245,10.49,912,Paid in Full,Current,655,75.21,No
304079,2025-02,33786,6079,16.05,409,Paid in Full,Current,576,36.22,No
304080,2025-02,1486,33062,16.2,314,Paid in Full,Current,600,70.15,No
304081,2025-02,42193,11234,18.54,990,Paid in Full,Current,820,64.37,No
304082,2025-02,11504,35423,24.02,541,Paid in Full,Current,803,84.29,No
304083,2025-02,39634,9138,22.3,337,Partial Payment,Current,675,10.38,No
304084,2025-02,42651,35223,10.38,532,Paid in Full,Current,557,19.43,No
304085,2025-02,21135,25365,18.78,982,Paid in Full,Current,637,90.76,No
304086,2025-02,4023,39329,16.09,107,Paid in Full,Current,505,76.68,No
304087,2025-02,48014,40307,23.34,75,Paid in Full,Current,615,37.08,No
304088,2025-02,22088,16704,10.69,792,Paid in Full,Current,600,8.13,No
304089,2025-02,19576,25444,19.19,187,Paid in Full,30 Days,585,43.79,No
304090,2025-02,21175,39264,17.44,52,Paid in Full,Current,530,50.73,No
304091,2025-02,21756,506,13.85,341,Paid in Full,Current,688,41.15,No
304092,2025-02,34459,25111,12.2,395,Paid in Full,Current,730,82.16,No
304093,2025-02,31667,10145,19.75,406,Paid in Full,Current,763,40.01,No
304094,2025-02,33266,33379,11.55,757,Paid in Full,Current,654,77.68,No
304095,2025-02,35456,43424,16.76,477,Paid in Full,30 Days,635,66.71,No
304096,2025-02,19210,6807,16.03,463,Partial Payment,Current,735,90.72,No
304097,2025-02,34047,37574,18.38,950,Missed Payment,Current,842,58.29,No
304098,2025-02,13387,25884,10.94,291,Paid in Full,Current,683,70.62,No
304099,2025-02,13020,25443,18.12,193,Paid in Full,30 Days,599,44.09,No
304100,2025-02,30582,13276,24.09,194,Paid in Full,Current,764,90.47,No
304101,2025-02,30426,1196,17.09,284,Paid in Full,30 Days,793,49.87,No
304102,2025-02,10406,15062,18.02,197,Partial Payment,Current,561,7.25,No
304103,2025-02,7609,17702,22.37,391,Paid in Full,30 Days,749,19.43,No
304104,2025-02,37330,4787,17.26,460,Partial Payment,Current,583,71.74,No
304105,2025-02,23186,36068,10.34,412,Missed Payment,Current,639,34.06,No
304106,2025-02,48457,18695,17.1,646,Paid in Full,30 Days,756,59.42,No
304107,2025-02,13928,6237,18.44,271,Paid in Full,30 Days,692,9.54,No
304108,2025-02,17275,1024,21.57,783,Paid in Full,Current,516,35.7,No
304109,2025-02,39925,39402,17.39,348,Partial Payment,Current,836,46.24,No
304110,2025-02,16850,15643,13.2,123,Paid in Full,Current,828,16.96,No
304111,2025-02,34959,37139,23.9,116,Missed Payment,Current,592,45.05,No
304112,2025-02,45813,9644,24.78,239,Paid in Full,90+ Days,702,21.88,No
304113,2025-02,41167,21767,22.63,951,Partial Payment,Current,844,83.42,No
304114,2025-02,34854,7506,18.28,235,Paid in Full,Current,551,27.3,No
304115,2025-02,3773,25030,21.58,759,Partial Payment,Current,813,86.28,No
304116,2025-02,16610,21089,18.18,764,Paid in Full,Current,512,15.6,No
304117,2025-02,45606,41654,21.95,243,Paid in Full,Current,568,76.86,No
304118,2025-02,33472,6669,11.09,57,Paid in Full,Current,777,94.95,Yes
304119,2025-02,37488,42331,14.72,433,Partial Payment,Current,606,67.76,No
304120,2025-02,7705,26101,23.73,844,Paid in Full,Current,584,19.46,No
304121,2025-02,31286,11943,14.0,172,Missed Payment,Current,699,84.18,No
304122,2025-02,8148,17782,15.79,340,Partial Payment,Current,819,44.53,No
304123,2025-02,6104,20410,20.03,406,Paid in Full,Current,523,86.81,No
304124,2025-02,49489,16091,10.78,509,Paid in Full,Current,785,61.13,No
304125,2025-02,17454,44933,20.32,697,Missed Payment,Current,648,57.91,No
304126,2025-02,25997,9316,22.16,437,Paid in Full,Current,728,20.06,No
304127,2025-02,33469,30499,22.47,407,Paid in Full,30 Days,531,60.54,No
304128,2025-02,2689,30156,21.98,389,Partial Payment,30 Days,515,55.84,No
304129,2025-02,20148,21338,18.97,955,Partial Payment,Current,659,48.89,No
304130,2025-02,19391,34627,22.28,175,Paid in Full,Current,502,46.18,No
304131,2025-02,3772,11355,24.44,336,Paid in Full,Current,719,14.71,No
304132,2025-02,30010,18262,18.65,981,Paid in Full,Current,572,52.79,No
304133,2025-02,23547,39239,16.7,265,Paid in Full,90+ Days,826,79.75,No
304134,2025-02,30015,609,20.51,496,Paid in Full,Current,696,32.54,No
304135,2025-02,8190,13201,19.99,559,Partial Payment,Current,556,17.08,Yes
304136,2025-02,41695,14156,14.64,486,Paid in Full,Current,512,85.5,No
304137,2025-02,36582,22285,20.76,681,Paid in Full,30 Days,585,6.83,No
304138,2025-02,46922,40659,17.03,986,Paid in Full,Current,544,77.59,No
304139,2025-02,28297,36626,18.33,788,Paid in Full,Current,571,41.64,No
304140,2025-02,20883,26296,11.27,378,Paid in Full,Current,810,31.6,No
304141,2025-02,34834,34495,13.29,117,Missed Payment,Current,801,57.77,No
304142,2025-02,14256,31899,10.32,654,Paid in Full,Current,792,50.63,No
304143,2025-02,5768,43533,15.97,802,Paid in Full,Current,804,6.02,No
304144,2025-02,19755,16098,21.48,690,Partial Payment,Current,824,87.55,No
304145,2025-02,12592,9833,13.36,956,Partial Payment,Current,596,22.19,No
304146,2025-02,33109,4325,15.94,408,Partial Payment,30 Days,670,79.77,No
304147,2025-02,17089,13329,13.39,724,Partial Payment,Current,583,92.02,No
304148,2025-02,18922,9322,10.24,96,Paid in Full,Current,547,66.62,No
304149,2025-02,16697,35735,12.02,530,Paid in Full,Current,752,50.31,No
304150,2025-02,26656,31656,10.67,412,Partial Payment,Current,737,77.82,No
304151,2025-02,27188,40549,21.68,757,Missed Payment,Current,839,75.64,No
304152,2025-02,43266,20560,16.92,824,Paid in Full,Current,663,54.04,No
304153,2025-02,33594,39022,16.42,554,Paid in Full,Current,706,70.67,No
304154,2025-02,42948,42530,12.29,494,Paid in Full,Current,584,8.74,No
304155,2025-02,23791,2299,23.23,896,Paid in Full,Current,806,77.18,No
304156,2025-02,15484,34453,11.99,575,Paid in Full,Current,823,71.74,Yes
304157,2025-02,26352,26234,16.23,854,Paid in Full,30 Days,837,57.96,No
304158,2025-02,14959,8389,20.97,476,Paid in Full,Current,771,82.52,No
304159,2025-02,31910,44824,19.57,598,Paid in Full,Current,757,52.09,No
304160,2025-02,36539,34424,24.94,203,Paid in Full,Current,611,23.31,No
304161,2025-02,9858,3871,20.9,456,Partial Payment,Current,595,58.78,No
304162,2025-02,1828,14655,12.77,350,Partial Payment,Current,574,45.24,No
304163,2025-02,28655,31737,22.65,854,Partial Payment,Current,784,31.04,No
304164,2025-02,2486,34603,13.0,648,Paid in Full,30 Days,641,86.0,No
304165,2025-02,31764,35541,13.63,605,Partial Payment,Current,634,70.46,No
304166,2025-02,32366,41781,17.27,701,Paid in Full,Current,557,7.34,No
304167,2025-02,35886,24381,13.33,141,Paid in Full,Current,697,83.39,No
304168,2025-02,45812,6696,14.51,414,Paid in Full,Current,614,93.26,No
304169,2025-02,41519,40205,15.71,742,Paid in Full,Current,613,33.69,No
304170,2025-02,33735,44447,16.66,235,Paid in Full,Current,636,86.9,No
304171,2025-02,22259,3671,12.58,863,Paid in Full,30 Days,706,35.15,No
304172,2025-02,47441,19699,15.17,548,Partial Payment,Current,656,12.89,No
304173,2025-02,17540,30359,18.75,481,Partial Payment,Current,599,52.5,No
304174,2025-02,2872,4662,23.9,897,Paid in Full,Current,616,58.89,No
304175,2025-02,49173,4537,18.01,386,Paid in Full,Current,727,5.31,No
304176,2025-02,48113,33017,24.82,609,Paid in Full,Current,509,48.32,No
304177,2025-02,16064,21306,18.18,966,Paid in Full,Current,825,53.91,No
304178,2025-02,14338,40524,20.73,411,Missed Payment,Current,754,44.91,No
304179,2025-02,16584,39292,13.59,660,Paid in Full,Current,687,78.58,No
304180,2025-02,36043,34867,18.23,491,Paid in Full,Current,649,7.12,No
304181,2025-02,27519,25866,23.98,866,Paid in Full,Current,635,72.0,No
304182,2025-02,49330,28166,12.24,635,Paid in Full,Current,797,88.24,No
304183,2025-02,39176,25303,21.66,52,Partial Payment,90+ Days,759,47.49,No
304184,2025-02,42069,10734,23.95,667,Partial Payment,Current,824,78.42,No
304185,2025-02,45058,32989,17.53,403,Paid in Full,Current,649,85.08,No
304186,2025-02,30035,30709,13.19,243,Paid in Full,Current,613,79.19,No
304187,2025-02,23836,16692,24.64,566,Partial Payment,Current,742,91.06,No
304188,2025-02,9028,15464,21.74,54,Paid in Full,Current,716,23.29,No
304189,2025-02,14998,14514,13.19,685,Paid in Full,Current,697,53.83,No
304190,2025-02,13770,15939,16.43,932,Paid in Full,Current,753,16.11,No
304191,2025-02,39287,18932,18.72,195,Paid in Full,30 Days,694,41.02,No
304192,2025-02,19040,11410,17.6,599,Partial Payment,Current,826,16.92,No
304193,2025-02,17875,10114,12.24,981,Paid in Full,Current,543,55.5,No
304194,2025-02,39498,19524,20.55,486,Paid in Full,Current,678,64.37,No
304195,2025-02,33244,32261,15.34,539,Paid in Full,Current,645,38.9,No
304196,2025-02,48901,3597,11.48,673,Partial Payment,30 Days,596,9.01,No
304197,2025-02,26851,6859,19.84,685,Paid in Full,Current,806,71.89,No
304198,2025-02,22921,43829,14.07,340,Paid in Full,Current,778,13.36,No
304199,2025-02,37541,33156,23.58,386,Partial Payment,30 Days,822,82.76,No
304200,2025-02,12343,15457,12.57,302,Missed Payment,Current,558,79.83,No
304201,2025-02,32208,1613,15.72,759,Paid in Full,30 Days,741,75.73,No
304202,2025-02,34448,19633,21.93,645,Partial Payment,Current,613,63.63,No
304203,2025-02,42724,38115,10.44,715,Paid in Full,Current,651,20.02,No
304204,2025-02,2452,15635,15.47,744,Paid in Full,Current,661,38.02,No
304205,2025-02,6561,42991,13.1,677,Missed Payment,Current,555,67.01,No
304206,2025-02,38414,31627,15.41,467,Partial Payment,Current,832,7.83,Yes
304207,2025-02,4206,3012,19.42,843,Paid in Full,60 Days,500,93.89,No
304208,2025-02,43315,7473,24.69,586,Paid in Full,Current,675,55.36,No
304209,2025-02,29913,44117,20.72,877,Paid in Full,Current,810,43.44,No
304210,2025-02,11899,10603,17.96,521,Paid in Full,Current,699,23.63,No
304211,2025-02,35359,13483,18.11,632,Paid in Full,Current,756,29.38,No
304212,2025-02,31491,41810,21.4,350,Paid in Full,Current,532,94.76,No
304213,2025-02,39604,28773,17.07,830,Paid in Full,Current,662,92.9,No
304214,2025-02,22777,30795,23.63,923,Missed Payment,Current,544,38.14,No
304215,2025-02,5284,39403,15.94,265,Paid in Full,Current,832,83.72,No
304216,2025-02,38717,10538,18.83,762,Paid in Full,Current,544,17.29,No
304217,2025-02,24002,27837,17.34,340,Paid in Full,Current,517,16.96,No
304218,2025-02,21478,13307,17.34,217,Paid in Full,Current,686,35.83,No
304219,2025-02,30046,22547,10.75,77,Partial Payment,Current,676,54.07,No
304220,2025-02,21516,31189,15.08,200,Paid in Full,Current,527,76.9,No
304221,2025-02,33748,24274,10.8,847,Partial Payment,Current,813,39.08,No
304222,2025-02,41495,40687,19.63,735,Partial Payment,Current,832,17.08,No
304223,2025-02,43060,20413,24.66,935,Paid in Full,Current,741,53.67,Yes
304224,2025-02,21771,17081,15.7,424,Paid in Full,30 Days,639,90.15,No
304225,2025-02,39569,9782,15.62,669,Partial Payment,Current,808,55.86,No
304226,2025-02,29226,19161,22.1,322,Partial Payment,Current,610,74.03,No
304227,2025-02,40160,29243,22.92,900,Paid in Full,30 Days,814,21.15,No
304228,2025-02,29709,34673,17.39,820,Paid in Full,Current,501,60.32,No
304229,2025-02,17733,36206,16.55,225,Paid in Full,Current,839,7.85,No
304230,2025-02,12570,14736,15.41,673,Paid in Full,Current,591,72.52,No
304231,2025-02,49043,12489,20.48,276,Paid in Full,30 Days,502,48.8,No
304232,2025-02,37204,34438,22.15,263,Paid in Full,30 Days,723,57.28,No
304233,2025-02,39887,8587,13.51,989,Missed Payment,Current,546,51.16,No
304234,2025-02,25589,22354,13.79,172,Paid in Full,Current,557,87.19,No
304235,2025-02,33114,5252,15.49,74,Paid in Full,Current,515,44.39,No
304236,2025-02,39082,16381,19.51,616,Partial Payment,Current,788,59.29,No
304237,2025-02,39551,12250,16.29,263,Paid in Full,Current,549,12.16,No
304238,2025-02,28951,13443,11.97,845,Paid in Full,Current,764,89.99,No
304239,2025-02,6748,30372,19.43,898,Paid in Full,30 Days,513,93.37,No
304240,2025-02,45495,39891,21.97,411,Paid in Full,Current,846,73.95,No
304241,2025-02,45425,20045,15.37,937,Paid in Full,90+ Days,656,10.51,No
304242,2025-02,46262,23866,19.52,286,Paid in Full,Current,609,23.52,No
304243,2025-02,25010,17927,20.12,161,Partial Payment,Current,633,79.1,No
304244,2025-02,24039,600,20.15,673,Partial Payment,Current,519,71.84,No
304245,2025-02,45702,5018,12.96,929,Partial Payment,Current,508,49.7,No
304246,2025-02,48440,20655,16.63,690,Paid in Full,Current,724,84.23,No
304247,2025-02,20696,8344,14.31,888,Paid in Full,Current,659,61.91,No
304248,2025-02,28203,14433,20.81,469,Paid in Full,Current,689,16.48,No
304249,2025-02,20082,31733,20.3,466,Partial Payment,Current,784,75.47,No
304250,2025-02,25512,29111,22.37,456,Paid in Full,Current,810,72.93,No
304251,2025-02,17878,23714,22.53,611,Missed Payment,60 Days,761,91.48,No
304252,2025-02,13776,23685,24.72,669,Partial Payment,Current,777,9.64,No
304253,2025-02,48801,22140,24.94,854,Partial Payment,30 Days,515,82.73,No
304254,2025-02,27651,23998,10.06,430,Paid in Full,30 Days,639,80.92,No
304255,2025-02,15222,40338,13.42,920,Partial Payment,Current,580,85.83,No
304256,2025-02,9049,24935,12.92,930,Paid in Full,Current,646,33.49,No
304257,2025-02,26983,30097,24.34,568,Partial Payment,Current,667,22.1,No
304258,2025-02,46604,6770,11.35,937,Partial Payment,Current,802,47.12,No
304259,2025-02,19075,19848,18.93,678,Partial Payment,30 Days,801,16.15,No
304260,2025-02,8978,44406,12.14,213,Partial Payment,60 Days,576,63.55,No
304261,2025-02,24704,7471,21.53,906,Paid in Full,Current,570,55.41,No
304262,2025-02,22671,30694,18.97,904,Partial Payment,Current,534,54.5,No
304263,2025-02,18931,40561,10.19,483,Paid in Full,Current,581,29.97,No
304264,2025-02,17479,7748,24.12,745,Paid in Full,Current,522,11.17,No
304265,2025-02,24326,12664,14.74,202,Paid in Full,Current,579,21.74,No
304266,2025-02,27612,42922,11.68,398,Paid in Full,Current,512,70.65,No
304267,2025-02,33180,40254,10.54,133,Paid in Full,Current,742,80.9,No
304268,2025-02,28445,23079,24.01,414,Paid in Full,Current,713,74.23,No
304269,2025-02,3694,11663,12.78,97,Partial Payment,30 Days,774,25.36,No
304270,2025-02,17614,30258,19.47,329,Paid in Full,Current,543,58.28,No
304271,2025-02,17434,15545,18.71,422,Paid in Full,Current,773,13.15,No
304272,2025-02,35868,36624,13.64,590,Paid in Full,Current,687,39.11,No
304273,2025-02,43872,39500,20.47,803,Paid in Full,Current,792,65.18,No
304274,2025-02,1650,39913,22.37,53,Paid in Full,Current,727,15.7,No
304275,2025-02,9337,15828,14.55,683,Paid in Full,Current,698,73.54,No
304276,2025-02,36624,34140,23.15,457,Partial Payment,60 Days,792,53.06,Yes
304277,2025-02,48074,42900,11.42,489,Paid in Full,Current,747,71.5,No
304278,2025-02,10940,30470,14.84,842,Partial Payment,Current,507,90.48,No
304279,2025-02,1778,29622,18.42,533,Paid in Full,Current,832,76.29,No
304280,2025-02,42655,2686,22.46,800,Paid in Full,Current,526,93.29,No
304281,2025-02,31090,41622,21.66,227,Paid in Full,Current,729,88.96,No
304282,2025-02,37343,34464,12.07,789,Partial Payment,Current,507,12.01,No
304283,2025-02,14129,1580,11.62,680,Paid in Full,Current,761,67.1,No
304284,2025-02,21696,35696,15.71,458,Paid in Full,Current,781,32.48,No
304285,2025-02,13867,15914,19.11,657,Partial Payment,Current,799,6.16,No
304286,2025-02,17736,38932,20.14,219,Partial Payment,Current,502,43.66,No
304287,2025-02,48387,2582,18.08,701,Paid in Full,Current,768,72.56,No
304288,2025-02,46676,38041,12.1,149,Paid in Full,30 Days,830,87.42,No
304289,2025-02,33257,4166,21.19,148,Paid in Full,Current,523,57.18,No
304290,2025-02,45727,11863,16.69,322,Partial Payment,Current,792,42.38,No
304291,2025-02,12593,23012,20.49,622,Missed Payment,Current,687,37.04,No
304292,2025-02,30536,42747,17.72,437,Paid in Full,Current,760,55.01,No
304293,2025-02,44727,30453,15.4,234,Paid in Full,Current,673,20.89,No
304294,2025-02,4561,24062,21.91,377,Paid in Full,Current,806,38.35,No
304295,2025-02,2062,5676,21.61,221,Paid in Full,Current,551,9.42,Yes
304296,2025-02,12735,11169,17.5,307,Partial Payment,Current,612,56.94,No
304297,2025-02,32207,42723,24.53,691,Partial Payment,Current,835,63.5,No
304298,2025-02,32274,24240,11.25,799,Paid in Full,60 Days,745,9.73,No
304299,2025-02,32945,12986,14.36,187,Paid in Full,Current,542,87.28,No
304300,2025-02,4427,5505,15.17,594,Paid in Full,Current,504,18.54,No
304301,2025-02,11320,13172,21.25,333,Partial Payment,Current,636,92.4,No
304302,2025-02,12011,32665,10.79,206,Partial Payment,Current,560,12.23,No
304303,2025-02,27597,11713,16.13,828,Missed Payment,30 Days,648,36.31,No
304304,2025-02,18859,1905,22.24,125,Paid in Full,30 Days,627,66.6,No
304305,2025-02,16451,19962,21.08,547,Paid in Full,Current,789,94.39,No
304306,2025-02,48208,44300,20.71,537,Missed Payment,Current,666,61.64,Yes
304307,2025-02,46337,15253,20.56,58,Paid in Full,Current,548,26.59,No
304308,2025-02,49012,39064,13.07,168,Paid in Full,Current,549,72.42,No
304309,2025-02,14171,7998,18.52,998,Missed Payment,Current,814,17.24,No
304310,2025-02,31478,28840,18.85,331,Paid in Full,Current,590,88.47,No
304311,2025-02,28440,41258,14.79,572,Paid in Full,Current,648,49.22,No
304312,2025-02,35216,802,24.88,901,Paid in Full,30 Days,808,94.08,No
304313,2025-02,27175,36371,14.55,52,Paid in Full,Current,831,34.44,No
304314,2025-02,5268,1015,10.91,314,Partial Payment,Current,575,28.97,No
304315,2025-02,36567,31868,13.54,663,Partial Payment,90+ Days,744,89.67,No
304316,2025-02,20559,22276,15.29,325,Partial Payment,Current,741,47.59,No
304317,2025-02,17356,17528,16.59,923,Paid in Full,Current,821,93.92,No
304318,2025-02,6347,41072,20.93,534,Paid in Full,Current,724,30.79,No
304319,2025-02,6776,39749,23.16,441,Missed Payment,Current,726,41.37,No
304320,2025-02,39294,28502,15.72,629,Partial Payment,Current,735,32.46,No
304321,2025-02,26634,43611,16.99,156,Partial Payment,Current,653,57.32,No
304322,2025-02,23295,31773,21.52,598,Paid in Full,Current,603,49.47,No
304323,2025-02,28328,33438,20.16,150,Partial Payment,60 Days,622,61.06,No
304324,2025-02,31420,31154,16.51,521,Paid in Full,Current,525,46.06,No
304325,2025-02,19631,42966,11.46,332,Paid in Full,Current,761,19.25,No
304326,2025-02,41922,27773,24.7,633,Partial Payment,Current,711,54.0,No
304327,2025-02,29767,1508,24.98,520,Partial Payment,Current,779,36.36,No
304328,2025-02,28611,23165,16.57,226,Paid in Full,30 Days,504,27.71,No
304329,2025-02,6032,36343,24.72,385,Paid in Full,Current,643,82.74,No
304330,2025-02,31010,37706,10.49,72,Missed Payment,Current,528,21.9,No
304331,2025-02,29589,39674,16.74,332,Partial Payment,Current,739,48.83,Yes
304332,2025-02,19280,8738,23.72,619,Paid in Full,Current,668,41.62,No
304333,2025-02,9023,14544,22.12,57,Paid in Full,30 Days,740,52.16,No
304334,2025-02,20689,38152,19.94,993,Paid in Full,Current,684,40.13,No
304335,2025-02,45508,21212,12.56,781,Paid in Full,Current,769,27.96,No
304336,2025-02,43561,44560,18.89,936,Paid in Full,90+ Days,833,12.73,No
304337,2025-02,45381,3430,24.57,495,Partial Payment,Current,641,27.82,No
